Molecule,GFN2 Neutral Angle,GFN2 Cation Angle,GFN2 Neutral Bond Length,GFN2 Cation Bond Length,DFT Neutral Angle,DFT Cation Angle,DFT Neutral Bond Length,DFT Cation Bond Length,Neutral Angle Error,Cation Angle Error,Neutral Bond Length Error,Cation Bond Length Error,GFN2 Delta Angle,DFT Delta Angle,GFN2 Delta Bond Length,DFT Delta Bond Length,Delta Angle Error,Delta Bond Length Error
17-25_ABAB,164.55837507926415,166.78521373316434,1.419987683511944,1.408743236715904,149.80315100099597,165.96528578150625,1.4472285562079836,1.4227941358148053,9.84974213137218,0.49403581465676183,1.882278550902554,0.9875567199224197,2.226838653900188,16.162134780510286,0.011244446796039975,0.024434420393178335,86.22187796264697,53.98111919536578
17-74_ABAB,151.95582337781272,157.75985953132377,1.4289690005057742,1.4115408226397883,145.7282142857605,153.4755920416819,1.4481358461405234,1.4230822464055255,4.273440886224289,2.7914976138214396,1.3235530137473877,0.8110159335406616,5.804036153511049,7.747377755921406,0.01742817786598594,0.025053599734997878,25.08386274213929,30.436432088279247
18-25_ABAB,169.1704024003163,169.60771479386716,1.4229419639867096,1.404093183316314,156.22779472106342,174.26497987142358,1.4499386759207713,1.4198243797618042,8.284446248736494,2.6725192181427655,1.8619209475819858,1.1079677648674684,0.4373123935508545,18.03718515036016,0.018848780670395637,0.030114296158967102,97.57549534528052,37.409194055551396
18-77_ABAB,147.24301264185385,154.3009250866099,1.4259886019633805,1.4081078937249296,131.4653052854923,148.25436508488002,1.4528472434036164,1.4260659639650963,12.001422977795109,4.078503859409503,1.848689981839629,1.2592734623744406,7.057912444756056,16.78905979938773,0.017880708238450893,0.026781279438520045,57.96124065855405,33.23430167144025
18-95_ABAB,142.56549285011374,155.20184528132324,1.4357728371444656,1.4174522178308573,120.30506205790846,151.38916395908217,1.4600924552450705,1.4293766501240166,18.503320152472302,2.5184638203508256,1.665621790814812,0.8342400368807423,12.636352431209502,31.08410190117371,0.01832061931360829,0.030715805121053874,59.347860615743365,40.35442261270702
19-39_ABAB,170.46129627061208,178.79419292835397,1.4208082565699716,1.4073767866347062,160.26080183792556,170.86806741625531,1.440795324723222,1.4173590966627865,6.36493410472416,4.638740071185828,1.3872246675349178,0.7042894106076503,8.332896657741884,10.60726557832976,0.013431469935265339,0.023436228060435438,21.441613805110382,42.68928472350859
19-70_ABAB,162.00870322315907,165.77937242310668,1.4277469404812908,1.4240329894375805,154.9850484119989,166.21282606863122,1.4431864330654254,1.4181912335227989,4.531827349235074,0.2607823089089159,1.0698196872139414,0.4119159515794406,3.770669199947605,11.227777656632327,0.0037139510437103063,0.024995199542626523,66.416602507975,85.14134269111725
19-72_ABAB,178.38309139970252,176.7395540713815,1.4223982379913618,1.4234728311870164,175.69027510429268,177.30174233204502,1.4458936659325612,1.4201185164754084,1.5327065165168308,0.31707994138641027,1.6249761994804446,0.2361996321217638,1.643537328321031,1.6114672277523425,0.0010745931956546162,0.025775149457152757,1.9901180747820462,95.83089441463389
19-94_ABAB,167.4821907931809,168.78737440335638,1.4248631078067218,1.4091968522344702,164.39657102874213,167.32734164049413,1.443398145980059,1.419415766924896,1.876936815123293,0.8725607832814092,1.2841251199440997,0.7199380849886239,1.305183610175476,2.9307706117519956,0.015666255572251542,0.023982379055163205,55.466197015151394,34.67597382137646
2-24_ABAB,159.2657648772441,167.51078690815896,1.4299302195126882,1.4097748802830623,151.59798191702782,163.72766773178753,1.4505930697493483,1.4224998163720441,5.057971658496734,2.310616909640948,1.4244415382620388,0.8945474679522721,8.245022030914868,12.12968581475971,0.020155339229625868,0.028093253377304173,32.02608742856212,28.2555887745317
2-50_ABAB,178.23176315040325,178.3612273068425,1.4186897148970272,1.404800205102018,176.7133278198132,179.98781774754426,1.4397740869597817,1.4182142628525316,0.8592647477831061,0.9037225191447461,1.4644222488596192,0.945841407879589,0.1294641564392407,3.2744899277310537,0.013889509795009136,0.021559824107250103,96.0462802055724,35.57688724214408
