Molecule,Neutral Energy,Neutral@Cation Energy,Cation Energy,Cation@Neutral Energy,λ0,λ1,DFT λ
47-158_AB3,-153050.4772022527,-153050.42041454112,-153045.63039932883,-153045.56686482645,0.056787711568176746,0.06353450237656944,0.12032221394474618
47-161_AB3,-145321.26996033042,-145321.2136275932,-145316.3187726287,-145316.25346285556,0.05633273720741272,0.06530977314105257,0.1216425103484653
47-304_AB3,-162614.39532086285,-162614.3410657149,-162609.3834702762,-162609.31566848443,0.0542551479593385,0.06780179176712409,0.12205693972646259
47-274_AB3,-179055.06657262606,-179055.00572225472,-179049.4710783751,-179049.40354243852,0.060850371344713494,0.0675359365704935,0.128386307915207
47-272_AB3,-165545.42987739018,-165545.36981097882,-165540.30218521625,-165540.2310851325,0.060066411359002814,0.07110008376184851,0.13116649512085132
47-176_AB3,-149839.9201519657,-149839.86139768732,-149834.91124456245,-149834.83556099297,0.058754278376,0.0756835694774054,0.1344378478534054
47-79_AB3,-146627.0348621038,-146626.97048731384,-146621.35969781544,-146621.28042288736,0.06437478997395374,0.07927492808084935,0.1436497180548031
47-115_AB3,-153049.28428969055,-153049.2191543424,-153044.31225453044,-153044.23151182025,0.06513534815167077,0.08074271018267609,0.14587805833434686
47-309_AB3,-177726.60010837638,-177726.52942762006,-177721.0724338767,-177720.99624716872,0.07068075632560067,0.07618670797091909,0.14686746429651976
47-292_AB3,-188799.45653413993,-188799.38573664674,-188794.29682913204,-188794.21981438162,0.07079749318654649,0.07701475042267703,0.14781224360922351
258-261_AB3,-174023.12175311265,-174023.05074473124,-174018.30293029544,-174018.22430980118,0.07100838140468113,0.0786204942560289,0.14962887566071004
47-225_AB3,-153360.74309353527,-153360.67107125768,-153356.09719145088,-153356.01890810567,0.0720222775998991,0.07828334521036595,0.15030562281026505
47-296_AB3,-173406.56894144867,-173406.49641467197,-173401.6699190605,-173401.59147788928,0.07252677669748664,0.07844117123750038,0.15096794793498702
78-261_AB3,-123556.51526247383,-123556.44126464966,-123551.22577929568,-123551.1481563708,0.07399782416177914,0.07762292488769162,0.15162074904947076
47-273_AB3,-180874.19771556812,-180873.90384240568,-180868.9631191142,-180869.1026999138,0.2938731624453794,-0.13958079961594194,0.15429236282943748
213-261_AB3,-161184.94264388387,-161184.86874837452,-161179.9820225392,-161179.90066811707,0.07389550935477018,0.0813544221164193,0.15524993147118948
47-238_AB3,-159468.32732657826,-159468.25885837968,-159463.4594903422,-159463.372177171,0.0684681985876523,0.08731317121419124,0.15578136980184354
47-124_AB3,-192009.09446139238,-192009.01909048174,-192003.95081844873,-192003.86958484518,0.07537091063568369,0.08123360355966724,0.15660451419535093
47-303_AB3,-221860.30739100493,-221860.24929905168,-221855.58688754786,-221855.48812981232,0.05809195325127803,0.09875773554085754,0.15684968879213557
47-262_AB3,-173357.23761469233,-173357.16739489688,-173351.91460082922,-173351.82465658916,0.07021979545243084,0.08994424005504698,0.16016403550747782
47-297_AB3,-186890.42338051592,-186890.3455799007,-186884.7748088257,-186884.6922549257,0.07780061522498727,0.08255389999249019,0.16035451521747746
47-222_AB3,-160523.69600684918,-160523.61871916856,-160518.10731626078,-160518.02389921568,0.07728768061497249,0.08341704509803094,0.16070472571300343
176-261_AB3,-126766.42915480412,-126766.35021484821,-126761.24729918457,-126761.16514093814,0.07893995591439307,0.0821582464268431,0.16109820234123617
37-115_AB3,-122445.37770488522,-122445.29851540091,-122440.79127328286,-122440.70838305018,0.0791894843132468,0.08289023267570883,0.16207971698895562
47-249_AB3,-185867.40741472668,-185867.3277408797,-185862.2489277004,-185862.1652480654,0.07967384697985835,0.08367963499040343,0.16335348197026178
47-197_AB3,-151359.8692448495,-151359.7948976312,-151354.38827406632,-151354.29835785404,0.07434721832396463,0.08991621228051372,0.16426343060447834
37-43_AB3,-140902.62663823421,-140902.54437930568,-140897.7937074023,-140897.7115769115,0.08225892853806727,0.08213049080222845,0.16438941934029572
115-261_AB3,-129975.77390985942,-129975.69310293037,-129970.64722940477,-129970.56297288844,0.0808069290505955,0.08425651633297093,0.16506344538356643
78-283_AB3,-117334.25819425203,-117334.17725453143,-117329.15073809671,-117329.06626552196,0.08093972060305532,0.0844725747447228,0.16541229534777813
236-258_AB3,-183187.19902747686,-183187.11673344564,-183182.22267468626,-183182.1361933671,0.08229403122095391,0.08648131915833801,0.16877535037929192
115-283_AB3,-123753.6168595324,-123753.53354561845,-123748.66167583878,-123748.57476049803,0.08331391394312959,0.08691534075478557,0.17022925469791517
44-213_AB3,-154964.86828793338,-154964.78539525167,-154960.1979222696,-154960.1104167139,0.0828926817048341,0.08750555571168661,0.17039823741652071
44-261_AB3,-120445.9528861273,-120445.86718849605,-120440.94823240778,-120440.86217449779,0.08569763124978635,0.0860579099971801,0.17175554124696646
37-78_AB3,-116025.86856744837,-116025.78914421824,-116021.15981958175,-116021.06626058133,0.07942323012684938,0.09355900042282883,0.1729822305496782
110-261_AB3,-163802.92762525514,-163802.84557150042,-163797.65829183548,-163797.56628905417,0.08205375471152365,0.09200278131174855,0.1740565360232722
158-283_AB3,-123754.17585893378,-123754.09286012767,-123749.30207673798,-123749.20982823786,0.08299880611593835,0.0922485001210589,0.17524730623699725
37-46_AB3,-142209.4729601781,-142209.38438521497,-142204.28934017237,-142204.2016882194,0.08857496312703006,0.08765195298474282,0.17622691611177288
37-44_AB3,-112915.43272594713,-112915.34793717614,-112910.9174311639,-112910.82552362245,0.08478877099696547,0.09190754145674873,0.1766963124537142
110-283_AB3,-157580.87031635523,-157580.78537302354,-157575.75627912642,-157575.6638692628,0.08494333169073798,0.09240986363147385,0.17735319532221183
