Molecule,Neutral Energy,Neutral@Cation Energy,Cation Energy,Cation@Neutral Energy,λ0,λ1,DFT λ
47-175_ABAB,-110160.36792213698,-110160.27977929063,-110154.97082527803,-110154.8483011188,0.08814284634718206,0.12252415923285298,0.21066700558003504
222-261_ABAB,-91643.62548837849,-91643.5278590991,-91637.4083437774,-91637.29491094191,0.09762927939300425,0.1134328354819445,0.21106211487494875
37-238_ABAB,-85920.22641613874,-85920.16018308331,-85915.30239982135,-85915.15711687598,0.06623305543325841,0.14528294536285102,0.21151600079610944
115-297_ABAB,-111428.23213958956,-111428.12710445959,-111422.28342115207,-111422.17675551592,0.10503512996365316,0.10666563615086488,0.21170076611451805
46-297_ABAB,-124604.0332048198,-124603.92711660925,-124597.50467299252,-124597.39901064016,0.10608821055211592,0.10566235236183275,0.21175056291394867
78-258_ABAB,-113953.03354567956,-113952.93024255426,-113947.78547006602,-113947.67649472754,0.10330312530277297,0.10897533848765306,0.21227846379042603
261-309_ABAB,-103112.25140156916,-103112.15312737993,-103106.18332392864,-103106.06897379734,0.09827418922213838,0.11435013129084837,0.21262432051298674
110-176_ABAB,-109279.76769356745,-109279.66404921138,-109274.25631950372,-109274.14731450482,0.10364435607334599,0.10900499889976345,0.21264935497310944
56-236_ABAB,-94748.85388385733,-94748.752872747,-94741.97479918522,-94741.86275984475,0.10101111032417975,0.11203934047080111,0.21305045079498086
283-297_ABAB,-105073.4393926783,-105073.3381505433,-105067.41597028119,-105067.30401529602,0.10124213498784229,0.11195498517190572,0.213197120159748
110-115_ABAB,-111419.30431082548,-111419.20035408273,-111413.80634435541,-111413.6967793462,0.10395674275059719,0.10956500921747647,0.21352175196807366
44-249_ABAB,-104392.77809391919,-104392.67113195107,-104387.29024028825,-104387.18367615058,0.10696196812205017,0.1065641376626445,0.21352610578469466
197-261_ABAB,-85534.44759553554,-85534.3520185388,-85528.34854371965,-85528.23039950494,0.09557699674041942,0.11814421470626257,0.213721211446682
247-258_ABAB,-120579.77683205863,-120579.67493304083,-120574.901554053,-120574.78955444114,0.10189901779813226,0.11199961185047869,0.21389862964861095
43-213_ABAB,-121978.59797180427,-121978.49246863849,-121973.18557126235,-121973.07646231595,0.1055031657742802,0.1091089464025572,0.2146121121768374
37-219_ABAB,-87664.8476354266,-87664.74057957919,-87659.87173516132,-87659.76385181569,0.10705584741663188,0.10788334562676027,0.21493919304339215
43-258_ABAB,-130537.34807643328,-130537.2421982946,-130532.04269663607,-130531.93358850601,0.10587813868187368,0.1091081300546648,0.21498626873653848
124-213_ABAB,-135646.88557020185,-135646.77972444473,-135641.46305654867,-135641.35389454008,0.10584575711982325,0.1091620085935574,0.21500776571338065
53-283_ABAB,-82536.18275569576,-82536.08386571289,-82529.85598594828,-82529.73952829522,0.09888998286623973,0.11645765305729583,0.21534763592353556
46-197_ABAB,-100917.12471354882,-100917.0164217603,-100910.69125585187,-100910.58360325878,0.1082917885214556,0.1076525930839125,0.2159443816053681
156-158_ABAB,-91400.96973392839,-91400.86780334536,-91395.89197600659,-91395.7779009824,0.10193058302684221,0.1140750241902424,0.21600560721708462
50-110_ABAB,-107347.11662672849,-107347.00902311591,-107340.91763565873,-107340.80919502392,0.10760361257416662,0.10844063480908517,0.2160442473832518
222-236_ABAB,-97752.99023119012,-97752.88841271799,-97746.69107882155,-97746.5766307293,0.101818472132436,0.11444809225213248,0.21626656438456848
43-110_ABAB,-123724.05418958553,-123723.94760830468,-123718.39486504438,-123718.28510220839,0.1065812808519695,0.1097628359857481,0.2163441168377176
197-222_ABAB,-92724.00570533049,-92723.897427964,-92717.5375474032,-92717.42912309525,0.10827736649662256,0.10842430795310065,0.21670167444972321
44-197_ABAB,-81387.86599699379,-81387.75748016713,-81382.15445135572,-81382.04576717902,0.10851682665816043,0.1086841766955331,0.21720100335369352
37-309_ABAB,-98092.24054885455,-98092.13840819964,-98086.6552501653,-98086.54018954476,0.10214065491163637,0.11506062054832,0.21720127545995638
197-296_ABAB,-101312.68914441376,-101312.59114124994,-101306.85121087189,-101306.73196786146,0.09800316381733865,0.11924301042745356,0.2172461742447922
53-261_ABAB,-86684.2788650981,-86684.1798725283,-86677.8300824933,-86677.71137309814,0.09899256979406346,0.11870939515938517,0.21770196495344862
36-283_ABAB,-76366.53081215604,-76366.43234694291,-76361.06185982529,-76360.94241436214,0.0984652131301118,0.11944546314771287,0.21791067627782468
249-283_ABAB,-104391.37597424228,-104391.273631951,-104385.71311249319,-104385.59746818845,0.1023422912840033,0.11564430473663379,0.21798659602063708
46-213_ABAB,-122849.76449781173,-122849.6563750059,-122844.00801148277,-122843.89775938609,0.10812280583195388,0.11025209668150637,0.21837490251346026
110-184_ABAB,-120663.87926065271,-120663.77329081167,-120658.51292000595,-120658.40049263112,0.10596984103904106,0.1124273748282576,0.21839721586729866
283-292_ABAB,-106346.08586574461,-106345.98563941062,-106340.46633268394,-106340.34802520092,0.10022633399057668,0.11830748301872518,0.21853381700930186
110-258_ABAB,-140784.0483790858,-140783.94399893392,-140778.73416239134,-140778.6199309017,0.10438015189720318,0.1142314896278549,0.21861164152505808
143-261_ABAB,-95906.92349112978,-95906.81472341414,-95901.57529231343,-95901.46544702695,0.10876771564653609,0.10984528648259584,0.21861300212913193
213-309_ABAB,-126125.22045082612,-126125.11544263543,-126119.49539255844,-126119.38163672382,0.1050081906869309,0.11375583462358918,0.21876402531052008
112-258_ABAB,-145511.22065982432,-145511.11222381546,-145505.71494083063,-145505.6045973037,0.10843600885709748,0.1103435269324109,0.21877953578950837
236-309_ABAB,-109221.65210613093,-109221.55483876295,-109215.47935037382,-109215.35778623224,0.09726736797892954,0.12156414157652762,0.21883150955545716
46-292_ABAB,-125876.76363643781,-125876.656388478,-125870.62344236825,-125870.51166126385,0.10724795980786439,0.11178110439504962,0.21902906420291401
283-296_ABAB,-96084.20860464858,-96084.11035277268,-96078.82555838829,-96078.7045047323,0.0982518758974038,0.1210536559810862,0.21930553187849
50-261_ABAB,-82588.78674457462,-82588.6791401457,-82582.44423821106,-82582.33249874006,0.10760442892205901,0.11173947100178339,0.2193438999238424
