Molecule,Round,Cation Angle,Cation Bond Length,Neutral Angle,Neutral Bond Length
43-236_AB3,commonHexamers,179.98166034544388,1.4042314922928019,179.99560499161532,1.4226553420062669
43-283_AB3,commonHexamers,178.60292596407473,1.4032107984128763,174.63401432428947,1.423758618601329
43-44_AB3,commonHexamers,179.99568345521362,1.406524673467199,179.96774419037462,1.4247908322581306
43-46_AB3,commonHexamers,179.9955840425358,1.4075630010649083,179.987753477813,1.4273295083750703
44-110_AB3,commonHexamers,175.67919902996,1.3970198619829093,173.95895021060818,1.4153274792810409
44-197_AB3,commonHexamers,179.99546822932854,1.403645550164279,179.96952903592847,1.4229658649396053
44-213_AB3,commonHexamers,177.48434479663325,1.3966691412788568,176.29468192573614,1.4145599484931541
44-236_AB3,commonHexamers,179.99377514115565,1.398546189275795,179.9398527265462,1.417429258310933
44-258_AB3,commonHexamers,171.53777160049952,1.3995095770689994,168.40579726106319,1.4180403683907536
44-261_AB3,commonHexamers,179.99703585004264,1.3996233276052594,179.972402368812,1.4184234835486356
44-283_AB3,commonHexamers,179.99554917132505,1.3964950346334055,179.95824489868156,1.4165064376844243
44-309_AB3,commonHexamers,179.9875982158411,1.4062965953290079,174.75063874822845,1.4255315568526505
44-44_AB3,commonHexamers,179.9949016008242,1.400753984877821,179.99034087311728,1.4193413658386398
44-80_AB3,commonHexamers,179.99439295298788,1.3998049004882722,178.61501793373603,1.419699854719669
46-110_AB3,commonHexamers,171.41393763023797,1.4008724693562793,167.17551421443312,1.4212602234884726
46-115_AB3,commonHexamers,174.3043614941365,1.403294025572387,173.01317325811664,1.4232143967270372
46-213_AB3,commonHexamers,169.69086126387975,1.4015656326286792,165.9298968717539,1.4218006341121967
46-219_AB3,commonHexamers,179.19226085857093,1.4000903571892866,178.61511332900255,1.4201640053125442
46-236_AB3,commonHexamers,179.99311368097858,1.400046468491519,179.9915299351578,1.4185375222701306
46-258_AB3,commonHexamers,170.18884138779458,1.4022317696631512,164.8648644539853,1.4240680009404563
46-261_AB3,commonHexamers,179.99538377535447,1.4006229980051852,179.9833281884107,1.4185886514623955
46-283_AB3,commonHexamers,179.997701523237,1.3974613333519914,179.98525663186243,1.4166491253686737
46-309_AB3,commonHexamers,179.98900895525284,1.4082199040767591,179.98881061695266,1.4271955062877428
46-50_AB3,commonHexamers,179.9891266401968,1.419870073425929,179.97834840573904,1.4351532804156704
46-78_AB3,commonHexamers,179.99640989842248,1.3999241984580633,179.99848031454235,1.4201601936262467
46-80_AB3,commonHexamers,179.99626544341285,1.4021161074926112,179.95892226838436,1.422520560853564
47-106_AB3,commonHexamers,179.97307571070138,1.3908330891390823,176.6214959411264,1.4025047792150924
47-110_AB3,commonHexamers,173.9724399993475,1.3820137004026225,173.19742664726184,1.3933821882078299
47-115_AB3,commonHexamers,175.31647736554902,1.386283322822789,172.66571063372407,1.4024223434125698
47-116_AB3,commonHexamers,178.67381161265695,1.3891985733402368,178.57649932303158,1.397312813442713
47-124_AB3,commonHexamers,178.16588135846442,1.3920044588909133,177.64148609175044,1.4082913912600998
47-145_AB3,commonHexamers,179.6921131670553,1.390389733188857,177.14015416153626,1.4036669352628013
47-147_AB3,commonHexamers,179.98694738849935,1.3868742059587291,179.9842936087337,1.3987630788634795
47-149_AB3,commonHexamers,179.99695384763746,1.3879642386870372,179.95512635205554,1.399443120101939
47-154_AB3,commonHexamers,179.90424987111314,1.3880849032701215,178.33179719946358,1.3996015729704514
47-156_AB3,commonHexamers,179.99709748575359,1.3869329818389182,179.97855590909018,1.3974069751903624
47-158_AB3,commonHexamers,179.99733835656414,1.3847052637588526,179.99616908611523,1.3989066423103
47-161_AB3,commonHexamers,179.9948831650001,1.3864824159788234,177.58975548914614,1.4007613819216613
47-175_AB3,commonHexamers,179.9834419350563,1.3861786715066522,179.9099403216848,1.3908953123877148
47-176_AB3,commonHexamers,178.6954049093769,1.3859753210918855,174.94690564991856,1.401789279243653
47-179_AB3,commonHexamers,177.87736224257605,1.388888232408663,177.03278825391425,1.4016192126463198
47-184_AB3,commonHexamers,175.6425942235581,1.3863222493675154,173.26931130514996,1.4030399209185045
47-197_AB3,commonHexamers,179.99304877863565,1.3914332333889599,176.393376303223,1.4091235858489672
47-201_AB3,commonHexamers,178.64076804136303,1.3872747758835033,176.71699543142645,1.3993274948205545
47-213_AB3,commonHexamers,174.22028663910208,1.3817908234961296,173.45674495152397,1.3930477770165983
47-217_AB3,commonHexamers,179.9935296203405,1.3910532134175826,175.53346041614435,1.4025880923790208
47-219_AB3,commonHexamers,175.49951984765312,1.3869210113140862,172.18449515929058,1.4038949942182388
47-222_AB3,commonHexamers,179.9976143788981,1.3910120810123252,179.99507667050003,1.4077503011224324
47-225_AB3,commonHexamers,179.9938340524488,1.3891273486623557,176.75155005114135,1.402350383270221
47-236_AB3,commonHexamers,179.99751776690596,1.3849918793001386,179.9944943931507,1.396732420832936
47-238_AB3,commonHexamers,173.57873980287408,1.387725666280312,170.02972245417214,1.4049778919506482
47-240_AB3,commonHexamers,179.9828451134531,1.3911359217432064,178.81384792691966,1.4025632709819882
47-247_AB3,commonHexamers,179.72644933010207,1.3904420711355283,178.09862222327732,1.4006570096075692
47-249_AB3,commonHexamers,179.96227370676317,1.3927823430855488,179.94687047981398,1.4094467920928158
47-252_AB3,commonHexamers,179.9936313750466,1.3891594129377938,175.66053478015152,1.4018175107653237
47-257_AB3,commonHexamers,179.99607226784104,1.3905586204216198,176.79582366414274,1.40400709299057
47-258_AB3,commonHexamers,177.30169123524308,1.3824535716133508,176.58982705971897,1.3932239416833003
47-261_AB3,commonHexamers,179.9873150856512,1.3857347093423917,179.9925868129808,1.3974888317933416
47-262_AB3,commonHexamers,179.70585685138235,1.393301131157234,173.36987202317883,1.4098827646155996
47-272_AB3,commonHexamers,179.99024116024913,1.3905152516301842,176.73401467166303,1.4025862217546679
47-273_AB3,commonHexamers,179.36824734616616,1.3914881053285402,175.37396487423757,1.403777844821359
47-274_AB3,commonHexamers,179.66227236427022,1.389892242869643,178.99759630991232,1.404741301304718
47-282_AB3,commonHexamers,179.99181937580735,1.3909759202130327,177.02411610941346,1.403934403673747
47-283_AB3,commonHexamers,179.9973495387412,1.3827794098045423,179.98864297048087,1.3937502387586942
47-292_AB3,commonHexamers,179.99141134801633,1.3924153909358166,179.99358876128437,1.4081380794332141
47-296_AB3,commonHexamers,179.9941018685218,1.391454044704313,179.9941419689564,1.4089599891002873
47-297_AB3,commonHexamers,179.99200702809298,1.3940268651488563,179.99668889717412,1.4110403431092065
47-303_AB3,commonHexamers,177.92202439430736,1.388618731018252,175.7142631393031,1.4012645975030265
47-304_AB3,commonHexamers,179.9895445023267,1.3887112785296336,176.42566902167772,1.4017392409090856
47-309_AB3,commonHexamers,179.99525549345827,1.3934890769005133,179.99751926594854,1.410709454404623
47-47_AB3,commonHexamers,179.9939142350909,1.3736991461538606,179.998603837574,1.3786187659272422
47-78_AB3,commonHexamers,179.9943167376651,1.3844240629340674,179.99455353166803,1.3980358090806906
47-79_AB3,commonHexamers,179.97953997128113,1.3923067101091067,175.71021641523188,1.4091722244952316
47-81_AB3,commonHexamers,178.7040376933924,1.3873525883894595,178.20218530234095,1.4006419997200603
47-83_AB3,commonHexamers,179.9869399432243,1.389817522392135,176.8447631533911,1.4031085751669372
77-110_AB3,commonHexamers,168.9468568256019,1.4016942326746171,164.56514089116212,1.4221143349108667
77-78_AB3,commonHexamers,171.12113132147888,1.4070977478516171,160.5926149971251,1.4295909523894692
78-116_AB3,commonHexamers,170.414908102252,1.4064957133325282,164.2137875417514,1.4268019283476152
78-158_AB3,commonHexamers,179.99763293880824,1.3988977484144745,179.99268743649125,1.418409852698523
78-161_AB3,commonHexamers,175.31234357032403,1.4033795580792146,169.62022646543628,1.424745131182662
78-176_AB3,commonHexamers,179.99348012099617,1.3988317749921466,179.99828805628408,1.418546063005842
78-201_AB3,commonHexamers,174.3914576324788,1.4030192076414476,167.43969434715038,1.4243811776136777
78-213_AB3,commonHexamers,172.51521252228105,1.3973967035791033,169.42035860969244,1.4182356095078894
78-217_AB3,commonHexamers,173.29830706320988,1.40554692014232,170.64400227545667,1.4248057141578045
78-252_AB3,commonHexamers,174.3179418553348,1.4042665086013075,166.7977864712525,1.4259668510973047
78-261_AB3,commonHexamers,179.9959893566918,1.4004474800360143,179.9940241680138,1.4176026367911059
78-273_AB3,commonHexamers,176.33810564939216,1.4025389933484291,170.84303228611162,1.4227166028840643
78-282_AB3,commonHexamers,176.45262097200242,1.404539689983951,169.39579833984877,1.4262937093584744
78-283_AB3,commonHexamers,179.98942820525156,1.397721912133711,179.9769015671348,1.4159102836427042
78-78_AB3,commonHexamers,179.9954457414728,1.3981635300553135,179.99446297340387,1.4177465567584915
80-80_AB3,commonHexamers,175.0960361732738,1.4059844667110013,169.67621541701016,1.42631757187889
