Cation Runtime (min),Neutral Runtime (min),Cation@Neutral Runtime (min),Neutral@Cation Runtime (min),Monomer 1,Monomer 2,Oligomer Length
146.3,59.0,29.479999999999997,33.86,28,53,2
171.9,106.62,36.06,13.08,55,60,2
97.66,76.53999999999999,25.66,33.82,15,25,2
137.26,70.68,19.439999999999998,10.02,93,97,2
119.86,78.19999999999999,9.9,33.98,25,83,2
97.44,37.66,37.839999999999996,21.4,19,63,2
135.01999999999998,77.82,34.94,9.14,16,49,2
62.68,36.14,33.4,8.12,43,61,2
135.92000000000002,70.17999999999999,28.979999999999997,14.58,80,99,2
124.62,87.46000000000001,6.0,18.08,22,76,2
65.88,46.06,11.62,30.22,34,37,2
201.24,105.92,19.7,11.780000000000001,65,86,2
198.16,200.88,15.12,4.859999999999999,24,55,2
69.38,41.84,22.02,28.42,11,27,2
40.24,38.3,34.58,16.6,6,47,2
63.12,46.5,31.42,34.48,33,59,2
82.75999999999999,77.25999999999999,38.839999999999996,29.36,66,71,2
49.839999999999996,22.759999999999998,33.86,5.98,3,7,2
75.16,64.2,34.06,6.32,47,63,2
91.8,74.5,37.879999999999995,14.06,26,74,2
127.53999999999999,60.24,36.839999999999996,33.67999999999999,61,84,2
103.22,75.82,26.979999999999997,29.279999999999998,49,84,2
97.7,65.32,28.54,37.0,9,76,2
43.980000000000004,39.26,9.34,14.739999999999998,32,94,2
105.32,87.36,30.220000000000002,4.82,28,93,2
58.42,41.980000000000004,25.24,6.56,5,30,2
102.96000000000001,67.12,8.94,36.86,53,83,2
51.42,52.72,9.64,8.3,47,78,2
62.64,47.32,20.919999999999998,26.86,33,42,2
74.4,41.14,11.559999999999999,27.220000000000002,72,91,2
153.92000000000002,105.62,12.46,31.339999999999996,54,76,2
114.4,56.44,18.92,21.38,36,96,2
123.34,63.14,36.46,31.4,45,59,2
110.03999999999999,50.38,19.5,15.76,7,11,2
43.099999999999994,53.12,26.599999999999998,2.6799999999999997,1,32,2
120.0,77.02,39.199999999999996,12.5,16,52,2
98.92,40.18,43.4,8.12,31,63,2
56.0,26.66,12.54,23.2,19,78,2
53.06,47.8,8.82,21.4,10,31,2
97.56,70.97999999999999,15.38,24.5,7,51,2
95.03999999999999,46.96,31.939999999999998,20.54,46,75,2
90.97999999999999,50.2,22.76,36.1,60,92,2
70.64,45.519999999999996,14.62,6.98,21,41,2
155.57999999999998,78.86,23.18,14.94,33,99,2
77.03999999999999,75.14,13.34,12.08,19,38,2
56.78,51.239999999999995,9.86,5.5,4,8,2
101.86,54.32,24.56,31.099999999999998,51,79,2
58.32,37.980000000000004,33.339999999999996,7.819999999999999,5,70,2
86.03999999999999,83.5,6.36,25.16,45,82,2
68.58,43.6,31.839999999999996,29.5,14,33,2
126.2,91.36,31.4,28.639999999999997,16,89,2
87.36,53.86,22.9,26.2,3,53,2
130.68,116.34,39.64,14.839999999999998,24,95,2
115.86,71.32,7.18,37.82,63,65,2
42.24,36.64,36.02,19.599999999999998,9,36,2
61.86,34.44,20.26,3.44,44,54,2
76.52000000000001,39.4,15.54,29.32,2,85,2
86.42,28.439999999999998,32.67999999999999,31.66,58,70,2
74.94,44.3,8.94,3.7800000000000002,54,83,2
238.16,128.72,39.94,17.119999999999997,8,55,2
97.7,93.96000000000001,19.66,16.18,14,86,2
90.72,56.839999999999996,16.16,11.66,75,91,2
80.24,60.18,31.799999999999997,7.88,9,83,2
95.97999999999999,42.9,25.3,28.42,34,42,2
72.16,35.8,25.36,8.24,11,52,2
98.5,53.58,39.02,34.82,31,96,2
70.56,37.78,29.220000000000002,16.96,20,22,2
58.9,41.86,11.02,2.0,9,18,2
100.82,56.36,10.18,9.719999999999999,27,97,2
73.19999999999999,34.9,13.059999999999999,24.279999999999998,6,72,2
90.25999999999999,39.78,29.06,10.819999999999999,54,58,2
59.9,56.98,32.379999999999995,31.0,26,41,2
220.92000000000002,106.06,18.52,13.639999999999999,67,92,2
143.2,88.18,23.72,3.7800000000000002,34,99,2
62.46,51.48,8.940000000000001,16.24,9,58,2
48.68,59.379999999999995,4.24,23.139999999999997,20,62,2
84.36,34.86,31.86,27.8,41,75,2
29.240000000000002,49.64,14.18,2.08,8,15,2
76.52,58.84,8.18,23.66,58,85,2
30.18,47.04,7.56,13.78,2,70,2
42.86,39.12,24.36,27.88,22,43,2
71.12,61.739999999999995,19.54,14.94,18,80,2
93.38,28.06,32.54,35.739999999999995,24,60,2
62.66,31.12,8.26,8.24,45,77,2
146.34,48.94,12.5,20.24,5,85,2
