Cation Runtime (s),Neutral Runtime (s),Cation@Neutral Runtime (s),Neutral@Cation Runtime (s),Monomer 1,Monomer 2,Oligomer Length
2.436,2.259,0.105,0.098,51,93,2
2.335,1.398,0.122,0.107,16,63,2
1.053,0.843,0.082,0.073,6,50,2
1.586,1.491,0.092,0.087,28,39,2
1.716,1.527,0.114,0.108,30,84,2
1.423,1.099,0.104,0.088,21,70,2
1.416,1.315,0.099,0.093,66,80,2
1.661,1.141,0.105,0.093,27,53,2
2.042,1.535,0.139,0.106,61,75,2
1.684,1.218,0.101,0.097,26,85,2
1.305,0.755,0.103,0.092,16,23,2
4.349,0.947,0.13,0.113,14,99,2
0.774,0.749,0.059,0.058,6,10,2
1.624,2.362,0.095,0.085,28,79,2
1.748,1.343,0.107,0.097,53,69,2
3.09,2.956,0.14,0.128,55,100,2
2.148,0.691,0.08,0.076,2,89,2
2.348,0.888,0.086,0.085,47,92,2
3.375,2.29,0.121,0.112,25,72,2
1.992,1.533,0.106,0.095,31,89,2
1.32,1.412,0.077,0.072,19,92,2
2.978,2.335,0.134,0.128,62,82,2
3.133,2.459,0.117,0.105,23,51,2
2.743,2.049,0.126,0.114,76,79,2
1.492,1.985,0.101,0.098,78,85,2
2.035,1.734,0.096,0.091,44,65,2
1.741,0.913,0.093,0.092,39,56,2
1.413,0.941,0.106,0.098,26,100,2
1.115,0.828,0.082,0.078,42,46,2
1.494,1.269,0.117,0.109,29,34,2
1.048,0.87,0.075,0.073,8,77,2
1.234,0.853,0.1,0.098,18,44,2
1.963,1.652,0.105,0.102,65,77,2
2.544,2.145,0.14,0.124,59,97,2
1.207,0.971,0.093,0.083,12,21,2
2.774,1.782,0.114,0.105,38,80,2
0.492,0.481,0.06,0.058,2,12,2
1.259,0.766,0.085,0.078,4,31,2
