Cation Runtime (s),Neutral Runtime (s),Cation@Neutral Runtime (s),Neutral@Cation Runtime (s),Monomer 1,Monomer 2,Oligomer Length
1.296,1.081,0.092,0.087,30,31,2
1.385,0.711,0.09,0.084,26,70,2
1.536,1.161,0.109,0.096,20,53,2
0.876,0.68,0.107,0.095,61,80,2
1.339,0.956,0.091,0.084,11,23,2
0.421,0.429,0.05,0.049,1,10,2
1.509,1.201,0.1,0.093,5,89,2
2.393,1.592,0.078,0.076,7,33,2
1.633,1.229,0.102,0.097,54,69,2
1.263,0.763,0.118,0.103,66,75,2
1.741,1.356,0.116,0.107,21,85,2
2.868,1.766,0.102,0.097,43,65,2
3.216,1.934,0.124,0.118,38,75,2
1.057,0.769,0.083,0.077,45,46,2
1.43,0.951,0.09,0.087,36,89,2
1.785,1.404,0.1,0.1,22,72,2
1.366,1.135,0.1,0.091,71,79,2
2.377,2.185,0.116,0.106,59,62,2
1.857,1.239,0.097,0.09,24,51,2
2.884,2.22,0.131,0.126,65,82,2
1.548,1.408,0.094,0.095,8,82,2
1.336,0.734,0.088,0.082,15,21,2
1.134,0.721,0.077,0.073,5,12,2
1.246,0.83,0.085,0.077,3,31,2
1.914,1.85,0.106,0.104,62,77,2
1.1,0.908,0.081,0.076,9,54,2
1.61,1.143,0.096,0.091,19,67,2
1.806,1.291,0.098,0.091,89,94,2
2.488,1.865,0.115,0.107,31,67,2
4.55,3.921,0.163,0.154,76,97,2
1.0,0.804,0.075,0.075,37,44,2
2.038,1.887,0.099,0.086,50,70,2
1.903,1.693,0.107,0.1,17,80,2
1.653,1.361,0.1,0.091,59,79,2
3.008,2.116,0.151,0.137,65,99,2
2.024,1.959,0.106,0.102,8,99,2
1.653,1.355,0.082,0.079,36,92,2
1.981,1.602,0.099,0.09,22,69,2
3.158,2.506,0.131,0.126,80,86,2
1.21,0.763,0.087,0.081,10,75,2
1.033,0.825,0.092,0.084,16,56,2
1.594,1.113,0.091,0.084,6,65,2
1.684,1.303,0.121,0.111,57,85,2
1.688,3.102,0.093,0.088,23,24,2
4.808,2.749,0.128,0.12,72,95,2
1.68,0.953,0.089,0.084,33,46,2
1.642,0.803,0.087,0.084,5,92,2
1.898,1.103,0.08,0.079,7,28,2
1.825,1.373,0.109,0.109,54,72,2
2.578,2.093,0.099,0.093,29,41,2
1.416,1.293,0.096,0.095,11,38,2
1.343,0.993,0.098,0.09,49,80,2
1.912,1.764,0.108,0.103,18,31,2
2.537,1.558,0.132,0.12,28,97,2
1.172,0.979,0.087,0.083,14,77,2
1.107,0.75,0.076,0.074,4,44,2
1.271,0.929,0.083,0.08,12,54,2
1.546,1.05,0.091,0.088,2,67,2
1.304,1.35,0.082,0.077,11,78,2
1.185,0.797,0.087,0.08,44,50,2
1.91,1.249,0.119,0.112,39,63,2
1.847,1.341,0.093,0.095,25,47,2
2.21,1.223,0.1,0.088,58,74,2
1.731,1.16,0.092,0.085,64,94,2
1.608,0.389,0.077,0.069,9,94,2
1.801,1.15,0.104,0.098,23,64,2
1.717,0.845,0.079,0.071,12,14,2
2.356,2.024,0.119,0.115,45,86,2
1.18,1.015,0.069,0.069,2,27,2
2.971,1.788,0.077,0.078,14,37,2
0.802,0.771,0.065,0.062,8,42,2
1.195,1.657,0.112,0.109,18,71,2
1.27,1.467,0.074,0.072,24,91,2
1.134,0.829,0.086,0.083,36,49,2
1.715,1.959,0.115,0.111,85,89,2
1.606,1.089,0.092,0.088,5,49,2
1.109,0.795,0.089,0.088,46,71,2
1.411,0.906,0.089,0.085,21,45,2
1.621,0.829,0.119,0.111,60,96,2
2.113,1.63,0.1,0.093,27,66,2
1.663,1.41,0.108,0.104,41,84,2
1.555,1.058,0.083,0.078,6,25,2
3.566,2.253,0.11,0.091,22,29,2
1.793,1.115,0.105,0.093,20,93,2
2.089,2.128,0.095,0.099,71,74,2
1.496,1.126,0.101,0.102,36,84,2
2.884,1.639,0.11,0.104,38,78,2
2.12,1.33,0.105,0.092,10,63,2
2.031,1.51,0.112,0.098,57,93,2
1.229,1.092,0.084,0.076,9,59,2
1.583,1.101,0.091,0.088,31,71,2
3.794,3.138,0.144,0.133,89,99,2
1.403,1.22,0.09,0.088,27,30,2
4.381,3.659,0.159,0.155,76,81,2
1.644,1.333,0.1,0.1,37,52,2
2.061,2.224,0.098,0.098,1,86,2
1.463,1.125,0.102,0.092,50,66,2
2.685,2.728,0.129,0.121,17,96,2
2.994,2.552,0.145,0.128,75,76,2
2.784,2.051,0.122,0.116,49,96,2
2.951,1.663,0.127,0.118,32,86,2
0.89,0.961,0.069,0.066,8,14,2
2.92,2.735,0.109,0.109,18,27,2
3.438,2.371,0.13,0.121,28,81,2
1.855,1.022,0.104,0.09,14,61,2
1.266,0.944,0.088,0.086,41,49,2
2.229,1.319,0.1,0.095,4,52,2
2.27,1.143,0.114,0.108,84,92,2
1.103,0.911,0.071,0.069,12,42,2
0.958,0.758,0.071,0.071,2,71,2
1.285,1.151,0.093,0.083,53,91,2
1.166,1.416,0.1,0.091,23,32,2
1.923,1.616,0.126,0.118,72,83,2
1.366,0.726,0.086,0.083,33,50,2
1.722,1.356,0.104,0.094,66,78,2
2.708,0.984,0.11,0.106,5,84,2
1.445,1.198,0.104,0.095,54,64,2
3.759,0.947,0.127,0.108,29,57,2
0.823,0.686,0.066,0.062,3,8,2
0.951,0.667,0.071,0.067,2,31,2
2.385,2.25,0.096,0.088,92,93,2
1.386,0.872,0.093,0.088,14,21,2
1.0,0.64,0.073,0.068,4,12,2
0.998,0.664,0.077,0.075,8,54,2
2.08,1.373,0.136,0.131,18,67,2
2.181,1.982,0.125,0.114,63,77,2
1.128,0.841,0.081,0.079,44,46,2
1.488,1.131,0.109,0.099,39,75,2
2.197,1.551,0.094,0.09,42,65,2
1.676,1.543,0.13,0.128,98,100,2
3.366,1.622,0.111,0.102,25,51,2
1.674,2.129,0.103,0.095,58,62,2
1.532,1.244,0.09,0.085,70,79,2
2.517,1.96,0.118,0.115,64,82,2
1.812,1.764,0.096,0.096,9,82,2
1.358,0.972,0.092,0.09,37,89,2
2.142,3.106,0.113,0.111,23,72,2
1.465,0.842,0.093,0.088,4,89,2
1.937,0.758,0.085,0.081,41,92,2
1.523,1.571,0.076,0.072,6,33,2
2.471,4.109,0.109,0.1,69,89,2
3.185,2.87,0.13,0.118,55,69,2
1.3,0.884,0.086,0.08,10,23,2
2.197,1.788,0.117,0.108,12,99,2
1.52,1.197,0.111,0.102,20,85,2
2.552,1.86,0.133,0.12,67,75,2
3.359,4.289,0.115,0.108,46,67,2
1.616,1.253,0.111,0.099,21,53,2
0.734,0.649,0.097,0.086,60,80,2
0.795,0.586,0.061,0.059,9,19,2
1.185,0.96,0.091,0.087,27,70,2
1.016,1.071,0.076,0.069,19,31,2
1.832,1.235,0.107,0.1,3,67,2
2.772,1.235,0.137,0.132,29,97,2
1.174,0.996,0.085,0.077,15,77,2
1.25,1.239,0.081,0.078,5,44,2
1.364,1.216,0.091,0.079,32,46,2
1.665,1.25,0.118,0.106,21,100,2
1.703,0.928,0.094,0.093,49,56,2
3.989,1.64,0.125,0.112,34,65,2
1.403,1.085,0.084,0.079,22,24,2
0.69,0.501,0.06,0.058,8,9,2
1.11,1.004,0.087,0.085,10,38,2
1.885,1.522,0.104,0.101,12,82,2
1.561,0.781,0.084,0.078,4,92,2
1.446,1.072,0.075,0.077,6,28,2
1.38,1.156,0.093,0.09,41,89,2
2.028,2.041,0.103,0.091,69,92,2
1.775,1.578,0.087,0.082,28,41,2
2.073,2.821,0.131,0.135,55,72,2
2.164,0.808,0.085,0.082,37,92,2
2.654,1.708,0.122,0.114,52,100,2
2.002,3.413,0.11,0.102,23,69,2
1.499,1.307,0.088,0.082,58,79,2
2.614,2.545,0.136,0.123,64,99,2
2.207,2.071,0.111,0.104,9,99,2
1.454,1.273,0.11,0.1,17,56,2
0.967,0.946,0.096,0.092,7,65,2
1.386,1.209,0.102,0.099,56,85,2
2.456,1.389,0.095,0.089,11,75,2
0.915,0.73,0.066,0.064,1,46,2
5.044,5.53,0.175,0.171,81,86,2
2.728,2.973,0.13,0.123,77,97,2
1.002,0.784,0.074,0.072,36,44,2
1.529,0.801,0.115,0.108,30,67,2
6.055,1.938,0.094,0.083,16,80,2
0.858,0.71,0.064,0.064,12,19,2
1.573,1.01,0.065,0.065,7,9,2
2.036,1.962,0.103,0.092,51,70,2
0.959,1.045,0.089,0.085,7,25,2
3.151,2.028,0.134,0.127,72,98,2
4.26,4.243,0.121,0.106,23,29,2
1.651,1.159,0.106,0.093,21,93,2
0.925,0.739,0.091,0.092,47,71,2
1.339,1.011,0.087,0.082,12,59,2
1.919,1.955,0.102,0.097,41,52,2
1.217,0.798,0.085,0.084,4,49,2
2.32,2.225,0.124,0.118,84,89,2
2.108,1.237,0.097,0.092,37,100,2
1.156,0.817,0.099,0.09,26,66,2
1.264,0.98,0.086,0.082,20,45,2
1.755,0.907,0.136,0.119,61,96,2
1.165,1.023,0.076,0.073,15,37,2
1.454,0.975,0.082,0.081,3,27,2
2.292,1.836,0.118,0.117,44,86,2
1.16,0.85,0.088,0.088,37,49,2
1.112,0.804,0.064,0.065,9,42,2
0.923,0.738,0.075,0.074,19,71,2
1.541,1.102,0.097,0.091,44,100,2
2.174,1.494,0.088,0.08,25,91,2
1.27,0.8,0.075,0.071,4,7,2
3.849,2.488,0.151,0.131,38,63,2
1.129,0.729,0.085,0.076,45,50,2
1.116,0.931,0.072,0.069,10,78,2
1.526,1.097,0.092,0.087,22,64,2
2.636,1.458,0.114,0.098,59,74,2
2.099,0.933,0.08,0.08,24,47,2
2.086,1.27,0.102,0.095,65,94,2
1.055,0.793,0.073,0.068,8,94,2
1.705,1.917,0.126,0.111,20,72,2
2.162,1.404,0.116,0.106,34,89,2
2.775,2.286,0.146,0.136,67,82,2
1.233,1.135,0.091,0.088,8,38,2
1.376,0.948,0.1,0.093,26,51,2
1.835,1.189,0.097,0.095,41,65,2
1.243,1.13,0.093,0.089,60,77,2
1.122,1.057,0.07,0.07,7,12,2
1.577,1.766,0.111,0.102,17,21,2
1.884,1.794,0.087,0.079,91,93,2
0.833,0.724,0.066,0.061,1,31,2
1.226,0.878,0.088,0.079,24,70,2
3.17,2.928,0.119,0.113,63,80,2
1.612,1.01,0.102,0.089,22,53,2
2.789,3.081,0.106,0.097,45,67,2
2.634,1.877,0.109,0.109,38,54,2
0.467,0.416,0.081,0.08,43,44,2
0.983,0.804,0.083,0.079,28,36,2
1.013,0.822,0.076,0.071,19,46,2
2.854,2.075,0.113,0.101,64,75,2
1.557,1.043,0.092,0.083,9,75,2
2.958,3.401,0.096,0.095,58,95,2
1.379,1.18,0.112,0.112,23,85,2
2.001,1.721,0.118,0.112,11,99,2
2.02,1.54,0.115,0.114,39,82,2
0.797,0.718,0.064,0.061,3,10,2
1.742,1.206,0.101,0.096,56,69,2
1.136,0.777,0.082,0.078,42,92,2
1.132,0.876,0.084,0.083,5,33,2
1.663,1.42,0.094,0.086,7,89,2
5.354,1.354,0.107,0.106,14,96,2
2.31,2.445,0.123,0.115,28,76,2
1.536,1.352,0.105,0.099,53,66,2
1.854,1.126,0.108,0.101,2,86,2
7.027,3.601,0.122,0.117,34,52,2
1.182,0.929,0.112,0.099,49,61,2
3.013,2.051,0.143,0.139,75,81,2
1.206,0.792,0.082,0.08,24,30,2
1.453,1.038,0.087,0.083,32,71,2
1.688,1.343,0.109,0.092,54,93,2
1.236,0.82,0.087,0.078,3,50,2
1.736,1.504,0.114,0.111,72,74,2
1.06,0.678,0.07,0.066,10,94,2
1.529,1.104,0.112,0.1,57,64,2
1.385,1.287,0.095,0.094,6,84,2
1.127,0.968,0.096,0.086,30,50,2
2.507,2.237,0.106,0.096,65,78,2
0.979,0.828,0.074,0.071,8,78,2
1.507,1.316,0.103,0.103,71,83,2
1.217,0.714,0.13,0.112,59,98,2
1.428,1.013,0.093,0.084,20,32,2
1.349,1.377,0.085,0.077,50,91,2
0.845,0.796,0.067,0.065,1,71,2
1.76,1.939,0.096,0.093,39,59,2
1.065,0.93,0.072,0.07,11,42,2
1.754,1.636,0.098,0.094,7,52,2
2.243,1.76,0.115,0.103,17,61,2
2.018,1.085,0.083,0.081,42,49,2
3.021,1.625,0.115,0.102,59,100,2
3.56,3.702,0.131,0.126,31,86,2
2.479,2.45,0.134,0.126,62,96,2
1.683,1.015,0.11,0.102,93,100,2
2.166,1.41,0.095,0.085,23,45,2
1.554,1.188,0.108,0.097,25,66,2
1.71,1.184,0.111,0.107,19,86,2
1.122,1.186,0.086,0.083,7,49,2
1.927,1.628,0.098,0.093,42,52,2
1.318,1.106,0.082,0.076,78,91,2
1.144,1.568,0.079,0.08,39,42,2
0.714,0.37,0.087,0.084,44,71,2
2.282,1.288,0.089,0.082,11,59,2
2.029,1.594,0.098,0.085,22,93,2
3.121,2.082,0.109,0.102,20,29,2
1.927,2.514,0.114,0.103,18,50,2
1.489,1.246,0.104,0.092,8,63,2
2.02,1.763,0.118,0.114,71,98,2
1.293,0.951,0.083,0.081,10,100,2
2.499,2.467,0.109,0.104,59,83,2
1.263,0.713,0.088,0.085,4,25,2
