Cation Runtime (min),Neutral Runtime (min),Cation@Neutral Runtime (min),Neutral@Cation Runtime (min),Monomer 1,Monomer 2,Oligomer Length
590.0,319.0,33.0,19.0,21,42,6
1067.0,598.0,45.0,18.0,41,82,6
826.0,451.0,33.0,16.0,8,99,6
1029.0,472.0,43.0,19.0,50,98,6
574.0,411.0,27.0,11.0,36,39,6
777.0,580.0,30.0,13.0,30,58,6
2670.0,1232.0,46.0,17.0,76,95,6
839.0,585.0,43.0,19.0,46,57,6
897.0,563.0,32.0,12.0,15,76,6
471.0,460.0,32.0,13.0,2,74,6
2144.0,518.0,33.0,23.0,21,45,6
677.0,812.0,30.0,16.0,39,46,6
1433.0,298.0,21.0,22.0,2,45,6
570.0,397.0,29.0,11.0,32,56,6
1323.0,324.0,37.0,15.0,29,51,6
1689.0,1262.0,40.0,16.0,7,62,6
760.0,582.0,41.0,20.0,43,57,6
887.0,513.0,41.0,17.0,29,78,6
378.0,372.0,24.0,11.0,44,70,6
1355.0,412.0,31.0,11.0,24,33,6
1817.0,758.0,30.0,13.0,7,71,6
822.0,637.0,36.0,18.0,46,63,6
5045.0,1339.0,50.0,20.0,55,57,6
1662.0,1117.0,51.0,22.0,21,81,6
7878.0,461.0,31.0,13.0,41,57,6
483.0,269.0,18.0,7.0,3,24,6
761.0,585.0,38.0,14.0,31,57,6
3181.0,793.0,39.0,24.0,45,81,6
1185.0,968.0,41.0,17.0,19,23,6
2131.0,1027.0,59.0,20.0,24,86,6
692.0,474.0,30.0,17.0,44,46,6
4088.0,1086.0,44.0,26.0,45,76,6
1220.0,668.0,30.0,13.0,28,93,6
631.0,387.0,36.0,18.0,22,43,6
1445.0,877.0,39.0,15.0,65,92,6
1741.0,1003.0,52.0,20.0,14,63,6
613.0,444.0,26.0,12.0,41,46,6
1223.0,761.0,46.0,17.0,38,92,6
1770.0,503.0,27.0,27.0,45,91,6
862.0,870.0,52.0,14.0,29,63,6
911.0,435.0,37.0,17.0,11,84,6
1081.0,689.0,44.0,21.0,21,50,6
1283.0,642.0,32.0,13.0,39,74,6
1548.0,855.0,50.0,21.0,16,38,6
643.0,437.0,24.0,12.0,24,46,6
2178.0,357.0,33.0,13.0,60,79,6
809.0,616.0,35.0,18.0,46,62,6
997.0,679.0,17.0,8.0,8,12,6
1104.0,337.0,28.0,11.0,21,24,6
1058.0,1251.0,26.0,12.0,9,95,6
1004.0,585.0,43.0,17.0,21,37,6
637.0,313.0,46.0,35.0,47,70,6
2691.0,554.0,56.0,18.0,45,85,6
2002.0,1736.0,50.0,18.0,23,57,6
1504.0,474.0,29.0,13.0,30,44,6
686.0,725.0,31.0,16.0,56,80,6
2682.0,952.0,39.0,13.0,17,43,6
1752.0,967.0,44.0,16.0,23,39,6
2244.0,272.0,29.0,15.0,5,15,6
2080.0,942.0,28.0,11.0,24,26,6
674.0,363.0,29.0,13.0,53,91,6
2192.0,1019.0,50.0,25.0,89,99,6
594.0,355.0,30.0,14.0,37,50,6
638.0,463.0,34.0,16.0,51,64,6
8972.0,953.0,29.0,12.0,8,76,6
5089.0,1517.0,61.0,16.0,23,61,6
256.0,183.0,23.0,10.0,19,31,6
2467.0,308.0,24.0,17.0,31,45,6
1091.0,398.0,40.0,18.0,53,80,6
2470.0,1123.0,101.0,21.0,46,81,6
525.0,431.0,34.0,14.0,44,58,6
983.0,1060.0,39.0,14.0,74,92,6
886.0,405.0,54.0,24.0,83,96,6
1484.0,376.0,31.0,17.0,45,53,6
850.0,268.0,36.0,15.0,49,61,6
6067.0,262.0,23.0,11.0,36,91,6
497.0,316.0,28.0,13.0,5,20,6
468.0,246.0,21.0,10.0,1,44,6
414.0,6053.0,22.0,11.0,10,69,6
3140.0,2368.0,103.0,17.0,25,67,6
418.0,393.0,21.0,9.0,9,31,6
736.0,523.0,51.0,24.0,47,50,6
3832.0,8531.0,67.0,24.0,45,55,6
557.0,684.0,44.0,19.0,18,37,6
1119.0,643.0,35.0,18.0,23,43,6
2362.0,632.0,26.0,16.0,45,77,6
1270.0,755.0,29.0,11.0,16,33,6
1797.0,759.0,52.0,49.0,76,96,6
2480.0,2591.0,58.0,13.0,25,34,6
1378.0,476.0,43.0,18.0,62,96,6
443.0,317.0,32.0,17.0,47,64,6
1132.0,396.0,25.0,10.0,3,95,6
1322.0,347.0,22.0,25.0,9,45,6
1924.0,621.0,45.0,18.0,67,96,6
3029.0,889.0,32.0,15.0,27,95,6
526.0,338.0,31.0,18.0,20,47,6
1967.0,451.0,37.0,22.0,45,50,6
517.0,464.0,28.0,14.0,37,64,6
834.0,587.0,20.0,10.0,37,94,6
367.0,404.0,51.0,14.0,21,66,6
999.0,621.0,41.0,20.0,21,96,6
2154.0,1286.0,34.0,14.0,38,94,6
986.0,309.0,19.0,25.0,3,45,6
830.0,604.0,34.0,14.0,20,33,6
