Monomer 1,Monomer 2,Neutral Angle,Cation Angle,Neutral Bond Length,Cation Bond Length,Trained λ
115,161,178.37703956937332,178.5466741059513,1.3934730899896026,1.3850219434340614,0.15514448036412554
115,147,179.369398894479,178.33286595109504,1.3904742934483347,1.3835398430303991,0.15904779635597757
115,261,179.65504954424972,179.5552934217311,1.3935576803836045,1.3857868094327694,0.15925616481714922
47,81,178.0483164394891,178.45059026096007,1.38911770691369,1.3830141629268984,0.1601070476833071
47,273,178.50521449218041,178.6814024932922,1.3913362482153802,1.3853847192005924,0.16070365367616377
47,197,178.94543578349789,178.79916340821015,1.395283792703546,1.3871350218085872,0.16430512573914405
37,184,179.3156606398357,179.30244473287598,1.3941601007406963,1.3865332818884983,0.16633854910178342
47,249,178.90336920337242,178.40391659953795,1.3949108042111729,1.3878030016487206,0.16765388940165094
37,78,179.15864560240388,179.32113974273025,1.3953828306296352,1.3878066687685833,0.16818432455998844
47,309,179.39332352174415,179.57001953554726,1.395362251585641,1.3880164347360149,0.16914092900866914
47,149,177.84738583666473,177.36139311211804,1.389870674259975,1.3844615560381095,0.17010259568759165
78,252,178.4230223902016,178.4019073001932,1.3934358138046403,1.3860628992879236,0.1705902924617306
115,247,179.3057294205001,178.87666815319184,1.3916265733038218,1.383787589354223,0.17271023550386114
176,261,179.05821857712402,179.21410932453892,1.3943019094349978,1.3866219530708768,0.17391477421871968
176,252,178.8945407999083,178.9473548328068,1.3940118903601708,1.3859857388757115,0.1744894101903386
37,80,177.94269806946264,178.3526233362283,1.394921645562422,1.3866799254923905,0.17562508278613678
47,213,173.7172832570821,174.51356279381352,1.3827215551811285,1.3777937076383726,0.17718773377564503
78,273,178.64781898723174,178.22281805596478,1.3925151390257633,1.3848628228022943,0.17775196074956331
47,156,177.51969394739243,177.93473929499925,1.3884454663415378,1.3828586528668685,0.1781820151004164
44,213,177.55186026231502,177.80375386754682,1.3926153140999225,1.3845984568651664,0.17847756793509084
47,110,173.55957530892925,174.19940663652937,1.38311707552654,1.378385770797658,0.17883449604880297
236,283,177.9287521729331,178.21843855418248,1.394404617617479,1.3859763354910388,0.17893002024575252
47,297,178.60849478902009,178.9688234791431,1.3960733269948948,1.3887092415572977,0.178997710376813
175,176,178.50732719362472,178.50563571511216,1.3919717505021765,1.386001018386932,0.1798474559946238
46,283,179.4496573839328,179.35399811408092,1.396024956811924,1.3874653087930535,0.18008410452118062
78,283,179.48467613070554,179.48255217597944,1.3955434222723535,1.387861177029143,0.18069918341003358
44,283,179.42316125349862,179.45623246479823,1.3969029542347708,1.3873551944802367,0.18157952614303213
219,261,178.067098840207,178.13279707849338,1.3938846265479483,1.386107224927042,0.1828470767235752
78,161,178.6244720377391,178.44449323530392,1.3956179075228994,1.3868083953827102,0.18302572054754518
44,80,179.3399283908695,179.73672082313718,1.3968625214803507,1.3868072080206129,0.1868587416454102
47,219,177.71420483792681,177.59207121327805,1.3871007724885398,1.3814777351146668,0.18716668291939037
158,283,178.29122038793815,178.48633358280847,1.396095337907698,1.3878332211033786,0.18737640015184298
46,258,177.1045045669779,177.70724542986028,1.3935830029864131,1.3877810696858544,0.18942743381359226
238,261,178.0424331594929,177.95670138052182,1.395606259782634,1.3878145162916202,0.18954635282509844
47,115,177.64460827881447,176.45718885038113,1.3874496499314974,1.3815818712804964,0.1896282184627489
176,283,178.3772572195393,178.50328675648137,1.3960566132776795,1.3879200346098846,0.1897060103646072
47,262,178.4742252508119,178.78322091763522,1.3960233833147977,1.3884776336541258,0.18977890875127434
115,175,178.06952886080646,178.34398833689255,1.3925700657377056,1.3876369235226726,0.19016474805102918
77,78,178.12457825873423,178.33629703363542,1.3959956513113294,1.3883506787657096,0.19081308651395376
46,219,179.3052829066324,179.00155766713158,1.3952131349397034,1.3889305715399975,0.19113514051447658
47,184,177.5718333908175,177.45099335589725,1.3872594604211352,1.3824747903476369,0.19174562839723272
115,258,173.82904955471218,174.73545058132854,1.388506281281427,1.3813192070592268,0.191942138588347
47,222,178.9920542423072,179.15754527338314,1.3962354928750196,1.3881370932517618,0.19389156810090447
115,213,173.42771639663155,174.33795347730847,1.3896093528853348,1.3822421398482871,0.19523861285182648
110,115,174.11330506885102,175.0001744655345,1.3897290706642462,1.3826359698738635,0.1952560716777225
47,79,178.43917886366006,178.5635495636197,1.3941156386494875,1.3915153038219648,0.19625489281697328
176,217,178.69134138047497,178.35062262813148,1.3953964872363311,1.387335759385894,0.1963459713588915
37,44,179.71244621450046,179.7656454588537,1.3998350330990554,1.3900205677404172,0.19662083147937665
47,154,176.59283025689118,177.13429067319115,1.3885803507393688,1.3832924633805015,0.19664030122366966
44,44,179.87375203565045,179.8880764139815,1.4010388384497112,1.3907050519726027,0.19666712530190128
176,273,178.72875350626148,178.69479249390125,1.3947519160884772,1.3860338183528291,0.19702989505353619
124,176,178.41209282281207,178.61902093158142,1.3961168692579438,1.3879514018515338,0.19740636973928002
78,116,178.58216141035967,178.53774677431733,1.3947457818573257,1.3876827029555745,0.19744970050952787
176,179,179.31971301449195,179.29688917160362,1.3959151819497109,1.387802511784246,0.19759518046436522
37,261,178.79524414477814,179.20007751781867,1.3980702691617162,1.3886472471271296,0.1976472434703998
143,261,179.47133776434913,179.4543121869022,1.3959636167204883,1.3879020461112048,0.19796377319085878
110,176,173.83579563481166,174.49475858332875,1.3886965431390983,1.3816722395475114,0.19798239939336781
37,43,179.00455984512763,179.04669040343396,1.4032954412499954,1.393469380451831,0.19800245962139645
